matchId,boardNumber,homePlayer,homeRating,result,awayPlayer,awayRating
1,1,Robin Voland,2057,½-½,Alexan Floure,1913
1,2,Clément Pinson,2029,½-½,Jean-Daniel Delacroix,1938
1,3,Raphael Erne,2164,1-0,Hervé Lanois,1781
1,4,Hassan Roger Sadeghi,2098,½-½,Fabrice Lovey,1821
1,5,Antonin Robert,2149,1-0,Adrien Pignat,1747
1,6,Roland Hauser,2026,½-½,Pierre Perruchoud,1890
1,7,Jason Weber,1838,0-1,Lucas Candelier,1863
1,8,Luca Srdjenovic,1882,½-½,Jean-Marie Carron,1852
2,1,Jean-Yves Riand,1877,0-1,Igor Yarmonov,2342
2,2,Jeremy Duc,1829,0-1,Mike Jäger,2114
2,3,Flavien Sola,2167,1-0,Gabriel Vergelin Soler,
2,4,Jean-Michel Paladini,1983,0-1,Hansjürg Känel,2226
2,5,Vlad Popescu,1990,½-½,Jörg Brauchli,1915
2,6,Yves Roduit,1910,0-1,Sandor Kaszas,2008
2,7,Yann Bourban,1885,½-½,Thomas Mani,1949
2,8,Olivier Ulmann,1788,1-0,Marc Tillmann,1921
3,1,Daniel Stroppa,2182,½-½,Richard Gerber,2233
3,2,Lindo Duratti,2134,0-1,Dominique Li,2292
3,3,Grégoire Tissier,2038,1-0,Nathan ALFRED,2214
3,4,Cédric Grillon,1984,1-0,Nils Delmonico,1940
3,5,Jan Steenhuis,2057,½-½,Tiziano Frei,1920
3,6,Steve Monthoux,2013,½-½,Jeremy Cendan,1932
3,7,Alexander Delangle,1911,1-0,Jörg-Dieter Meyer,1869
3,8,Stéphane Coletta,1928,½-½,Alexander Clarke,1802
4,1,Yves Deschenaux,2121,½-½,Gonçalo Varela Tavares,1967
4,2,Salvatore Cruceli,2083,1-0,Guillaume Chauvon,2076
4,3,Joseph Edoecs,2035,0-1,Sébastien Vasey,1956
4,4,Vinzenz Tremp,2042,0-1,Alexandre Bur,1901
4,5,Jean Mettraux,1959,½-½,Armin Rauer,1918
4,6,Bernard Deschenaux,2002,0-1,Pierpaolo Ranieri,1893
4,7,Raphaël Perrin,1944,0-1,Sébastien Pagliaro,1920
4,8,Achim Schneuwly,1943,½-½,Mathis Soubeyrand,1547
